day,state,disturbance,environment,replicate,patch,resource,light,min,max,B,E,C,Pa,Pb,S,T,V
1,pre,control,constant,1,1,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,1,2,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,1,3,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,1,4,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,1,5,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,2,1,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,2,2,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,2,3,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,2,4,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,2,5,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,3,1,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,3,2,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,3,3,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,3,4,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,3,5,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,4,1,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,4,2,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,4,3,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,4,4,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,4,5,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,5,1,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,5,2,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,5,3,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,5,4,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,5,5,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,6,1,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,6,2,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,6,3,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,6,4,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,6,5,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,7,1,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,7,2,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,7,3,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,7,4,b,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,7,5,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
1,pre,control,constant,8,1,h,L,21.7,22.2,1,0.2,1,0.2,1,0.2,1,0.2
